name|meaning
haaris|Friend
haashir|Gatherer
haaziq|Intelligent, Skilful
habeebullah|Beloved of Allah
habib|Beloved
habis|A narrator of Hadith
hadee|Director, guide
hadi|Guide
hadid|Strong
hafid|The wise one
hafiz|Protector, guardian
hafs|Lion, Young of Lion
haider|Lion
haikal|Tale
haitham|Eagle
haji|Pilgrim
hajib|Doorman, janitor, bailiff, eyebrow, edge, covering
hajjaj|Orbit, eye socket, Argument, debate
hakim|Brother
haleef|Ally, confederate
haleem|Patient
hallaj|Cotton ginner
halwani|Confectioner
hamd|Praise, lauding
hamdan|The one who lauds, extols
hamdhy|Sympathy, blessing
hamdi|Of praise, commendable
hameem|Friend
hami|Protector, Patron, Supporter, defender
hamid|Praising, Allah, commendable
hamiz|Brave, strong
hammad|Praising (Allah)
hammam|A great man, a chief, a hero
hamood|One who praises Allah
hamza|Lion
hamzah|Lion
hanash|A hadith was narrated by a man with the same name
haneef|Upright, true
hani|Delighted, content
hanif|True believer
hanifah|Upright
haq|Power
haris|Vigilant guardian
harisah|Guardian, protector
harith|Ploughman, cultivator
haroon|A Prophet's name
hasan|Handsome, good
haseeb|Respected, esteemed
haseen|Beautiful, Smart
hasham|Servant
hashid|One who rallies people, crowded, gathered
hashim|Generous (Great grandfather of the Prophet)
hashir|One who assembles
hashmat|Dignity, Glory
hasib|The reckoner
hasnain|Combination of Hassan and Hussain (see Hassan and Hussain for
hassan|Really beautiful or one who beautifies
hatib|A wood collector
hatim|Judge
hawshab|A son of Iama Muslim had this name
hayaat|Life
hayder|Means `lion` in Arabic This was another name of Ali, the husband of Fatima daughter of the Prophet Muhammad (PBUH)
haytham|Young hawk
hayyam|Loving
hazim|Discreet, prudent
haziq|Intelligent, skilful
hesam|A sharp sword
hibah|Grant, donation
hibbaan|Fleshy
hidayat|Instruction
hilal|Crescent
himayat|Protection, Support
hisham|Generosity
hissan|Generous
hooman|Good soul, good natured
hosaam|Sword
houda|Guided
hubaab|Bubble of Water
hud|A Prophet's name
hujayyah|The father of Ajlah bin Abdullah was so called
hujjat|Argument, reasoning, proof
humaid|Praised
humair|Red
humam|Courageous, generous
humayl|A companion of the Prophet (SAW)
humayun|Blessed, sacred, royal, imperial
humd|Praise of Allah
humza|The name Humza is one of the Arabic alphabets
hurairah|Narrator of Hadith, a close companion to Prophet Mohammed
hurayth|A small cultivator
hurmat|Chastity, sacred
hurrah|Liberal, free
husam|Sword
husni|Good, handsome
hussain|Handsome, beautiful
hussein|Handsome, Beautiful
huthayfa|Old Arabic name
huzaifah|Curtailed, shortened
huzayfah|Curtailing, shortening, curtailed, short
huzayl|Bin Shurah bil had this name
ibaad|A worshipper
ibn|Son of
ibrahim|A Prophet's name
idris|A Prophet's name
iftikhar|Proud
ihab|Leather
ihsan|Beneficence
ihtesham|Respectable, honourable, present personality
ihtiram|Honour, hold in honour
ihtsham|Strength
ijaz|Miracle
ijli|This was the name of the makes of astrolabes
ikrimah|A companions name
ilan|Good person
ilifat|Friendship, kindness, obligation
ilyas|A Prophet's name
imaad|Pillar of strength, confident
imaan|Faith
imad|Support, pillar, confidence
imran|A Prophet's name
imtiaz|Different, antique
imtiyaz|Distinct
inaam|Reward, favour, Prize
inayat|Bounty, Kindness, favour
iniat|Blessing
insaf|To Judge with Justice
intaj|King, magnificent
intikhab|Selection, choice
intizar|Wait
iqbal|Responsiveness
iqraam|To be of assistance, respect
iqrit|A man of early Islam about whom amusing tales are told
iqtidar|Power, Office, Authority
irfan|Gratefulness
isa|A Prophet's name (Jesus (AS))
isam|Protector
ishaq|A Prophet's name
ishrat|Society, Familiar and pleasant talk, happiness
ishtiyaq|Longing, craving
iskandar|SEE SIKANDAR
islam|Submission to Allah
isma'il|A Prophet's name
ismah|Preservation, infallibility
ismail|A prophets name
israr|Insist, never gives up
issar|Sacrifice
istakhri|A shafaee jurist
ithaar|Selflessness
itimad|Trust, faith
iyaad|Generous
iyaas|Compensation
izaan|Obedience
izyan|Intelligent, wise
izz|Glory, honour, Prestige, High Standing
izzat|High rank, honour
jaan|Life, Soul
jabir|Consoler, Comforter, restorer
jabr|Compulsion name of a companion
jad|Curly, Frizzled
jafar|Rivulet, stream
jaffer|Flowing water
jahangir|A moghul emperor had this name
jahanzeb|Beautiful
jahdami|An authority for hadith had this name
jahdari|An authority of Quran had this name
jahiz|Ogle eyed
jahm|Sullen
jalal|Glory, grandeur
jalees|Companion, friend, person with whom one sits
jalil|Great, revered
jamal|Beauty
jamesha|Beautiful leader
jamil|Beautiful, lovely
jan|Life, heart
jaraah|Surgeon; name of tabaree
jareer|Corpulent
jari|Powerful, brave
jariyah|Name of a Ashb as Suffa
jarood|Name of a companion of the Prophet (SAW)
jarrar|Brave
jasim|Healthy, Strong, Powerful
jasmir|Strong
jauhar|Gem, jewel
javed|Bright
javeed|Forever
javier|Month of January
jawad|Liberal, generous
jawdan|Goodness
jawhar|Jewel, gem
jazib|Beautiful, Handsome
jazlaan|Happiness
jeelan|It is a city in Iran
jibran|Reward
jibril|Archangel of Allah (Gabriel)
jihad|Struggle, Islamically sanctioned war
jiyad|Very good
juayl|Quarrdsome
jubair|Counsels or brings together
juhaym|Sullen
juma'|Friday
jumanah|Pearl; name of a companion
jummal|Unit of army
junaid|Fighter, worrier whose strength is equal to a small army
junayd|Fighter, warrior
jundub|Grasshopper (name of a companion)
juthamah|Nightmare (name of companion)
kaamil|Perfect, accomplished
kaashif|Uncoverer, pioneer, discoverer
kabeer|Great
kabir|Big, great
kafeel|Responsible, Surety, Sponsor
kaiser|Emperor, King
kajji|An authority of hadith at Baghdad
kalbi|An authority on genealogy and the Quran
kaleem|Speaker, talker
kaleema|Public speaker, singer
kamal|Perfection, completeness
kamil|Perfect, complete
kamran|Safety and helpful
kareem|Noble, generous
karim|Giver
kasam|The king
kashan|Place of rulers
kashif|Uncoverer
kasim|Lovely
kawkab|Star
kawthar|Much, Abundant, Copious (Name of a river in paradise)
kaysan|Wise
kazi|Judge
kazim|Restrainer of anger
keyaan|Crown, King
khadim|Servant, attendant
khafid|Easy, comfortable, smooth
khalaf|Successor, Descendants
khalam|Servant to Allah
khaldun|Implies eternity
khaleed|Abiding
khaleel|Goo Friend
khaleeq|Suitable (for), Worthy, Deserving, Polite, Affable, Well disposed
khalid|Eternal, glorious
khalifah|Successor, Caliph
khalis|Pure, Clean
khallad|Old, Aged (also name of Prophets (SAW) companion
kharijah|Outside, external
khasib|Fertile, Productive, Profuse
khateeb|Orator, Preacher
khawar|From east to west
khayaam|Iranian Poet, Tent
khayr|Goodness, health, Safe
khayri|Charitable
khayyat|Tailor
khazin|Treasurer
khidash|Name of Prophet (SAW)'s companion
khidr|Green
khirash|Scratching, Scraping, (name of a companion)
khubaib|Shinning
khubayb|A fast walker, (name of companion)
khulayd|Abiding, (name of companion)
khunays|Hidden (name of companion)
khuram|Tiger
khuraymah|(name of companion)
khurram|Cheerful, Happy
khursheed|The sun
khurshid|Sun
khush|Bakht Fortunate, of good fortune
khushtar|Surrounded by happiness
kifayat|Enough, sufficient
kinza|Hidden Treasure
kishwar|A country, region
kurayb|Ibn Abi Muslim al Hashami had this name
labeeb|Understanding, Sensible, Intelligent
labib|Sensible, intelligent
lahi'ah|A narrator of hadith
laiq|Deserving
laith|Lion
lajlaj|One of prophet's (SAW) companions
laqeet|Well known companion of the Prophet (SAW)
lateef|Kind
latif|Fine, gentle, refined
layth|A famous jurist had this name
liban|Successful, charmed
limazah|He was a narrator of hadith
liyaqat|Worth, deserving, merit
lu'ay|Shield
luqman|A Prophet's name
lut|Name of a Prophet
lutf|Bounty, enjoyment
lutfi|Kind and friendly, gentle
ma'mun|Trustworthy, reliable
ma'n|Assistance
maaz|Brave Man
mabad|A place of worship
madani|Civilised
madiyan|Name of place in Saudi Arabia
madyan|Name of a holy place in Saudi Arabia where the Prophet (PBUH) used  to visit
mahad|Great, nice
mahaz|The place of war
mahbeer|Brave
mahbub|Dear, Darling, Sweetheart
mahd|The guided one
mahdi|Rightly Guided
maher|Skilled
mahfuj|The Protected One, The Protector
mahfuz|Preserved, safe
mahja|Place to sleep, quarters, lodgings
mahmud|The praised one, commendable
majd|Glory, nobility
majdi|Glorious, praiseworthy
makhdoom|One who is served
makki|Pertaining to Makkah
malih|A reciter of Quran was so called
malik|Master
mamduh|Person commended, praised
mamoon|Secure, fearless
mansoor|Victorious
mansur|Divinely aided, victorious
manzar|View, Sight
manzoor|Approve(d), Accept(ed)
maqbool|Popular
maqil|Intelligent
marghoob|Desirable, coveted, agreeable
maru'deen|Strong believer of the religion
maruf|Known, accepted
marwan|Solid
marzuq|Blessed, fortunate
masarrat|Happiness, delight, joy
mash'al|Torch
mashhood|Witness
mashhud|Clear, Manifest, Witnessed
mashkoor|One who is worthy of thanks, deserving, commendable
masood|Blissful, fortunate, auspicious
masoud|Lucky
masroor|Happy person, joyful
masrur|Happy, glad
masud|Fortunate, happy, lucky
masum|Innocent, infallible
mateen|Solid, constant, tough, substantive
matloob|Objective, goal
mawsil|Name of Hanafi Jurist of Iraq
maymun|Fortunate, blessed
maysarah|Ease, comfort
mazin|Cloud that carries rain
mehboob|Loveable
mehtab|The Moon
mekka|Name of Holy city
mensur|Winner
miftah|Key
mika|Cool, sweet, intelligent
mika'il|One of Allah's angel
mimar|Mason, architect
minhaj|Road, Path
miraj|Ascension (to heaven)
mirsab|The sword of the Prophet (SAW)
misbah|Light, lamp
miskeen|Poor
mistah|Instrument to level something
mo'tasim|Handsome
moazzam|Respectable
mobeen|Sensitive
moeen|ud din Helper in the religion
moeez|Respectful
moemen|Believer and faithful to Allah
mohammed|Name of final prophet (PBUH)
mohid|The one who believes in oneness of Allah Almighty
mohsin|Helper, attractive
mokbul|Accept
mostafa|Chosen one
motaz|Proud
mounir|Light, sunlight
mourad|Desire
mu'adh|Protected
mu'afa|Name of a man who travelled extensively to find Hadith
mu'alla|A judge and follower
mu'allim|Teacher
mu'awiyah|First Ummayad Caliph
mu'awwiz|Companion who participated in the Battle of Badr
mu'ayyad|Supported
mu'inuddeen|The Helper of the religion
muammar|Senior
muammer|Senior
muballigh|Preacher, one who preaches and propagates Islam
mubarak|Blessed, fortunate, auspicious
mubaraq|Blessing
mubashir|Spreader of good news
mubassir|Observer
mubeen|Clear
mubid|Intellectual
mudabbir|One who plans
mudasir|Handsome
mudasser|A word in the Qur'an
mueen|One who helps
mueez|One who gives protection
mufaddal|One who is preferred
mufakkir|Thinker, one who meditates
mufallah|One who prospers
mufeed|(from the verb fada to overflow)
mufid|Useful
muflih|One who prospers
mufti|Jurist
mughith|Helper, succourer
muhafiz|One who protects
muhaimin|Supervising, guardian, protector
muhajir|Immigrant
muhammad|Praiseworthy name of the LAST Prophet (AS)
muhannad|Sword
muharrem|st month of Islamic year
muhdee|One who presents
muheet|That which embraces all round
muhib|One who loves, friend
muhriz|Obtainer, winner, earner
muhsin|Beneficent, charitable
muhtadi|Right guided
muhtashim|One has many followers
muiz|The giver of might and glory
mujaddid|One who renews or renovates or refreshes
mujahid|A warrior
mujazziz|Name of a companion
mujeeb|Responder
mujibur|Responsive
mujtaba|The chosen one
mukarram|Respected, honoured
mukhlis|Sincere, pure hearted
mukhtar|Selected, authorised
mukthadir|Strong, health
mulayl|A companion was so named
mumin|One who believes
mumtaz|One who is distinguished
munaf|Exalted, inconsistent with contradictory to
munawwar|Enlightened, lighted
muneeb|One who turns in repentance
muneer|Shining
munir|Moon's Light, Lamp
munis|Name of a previous chief army guard
munkadir|Name of an authority and ascetic of Hadith
munqad|One who is led, conducted, obedient
muntasir|One of the Abbasid Khalifah was known as such
muntazir|The awaiting
munzir|Warner
muqaddas|Sacred
muqatadir|Name of an Abbasid Khalifah
muqbil|Following, next
muqtasid|One who is economical, thrifty
murabbi|Patron, Superior, guardian
murad|Desire
mursal|Messenger, Prophet, Ambassador
murshid|Spiritual guide, instructor, mentor
murtaad|Ascetical
murtadaa|Chosen one
murtaza|The generous, The giving
musa|A Prophets name
musaddiq|One who confirms or verifies another
musaid|Helper
museeb|Apple in Persian Also means great warrior
musharraf|One who is honoured, exalted
musheer|Advisor
mushfiq|Friend, considerate
mushir|`The one of highest rank` was used mostly in military in the past,
mushtaq|Ardent, Longing
muslih|Reformer
muslim|One who submits to Allah
mussarrat|Joyful, always happy
mustaeen|The chosen one
mustafa|The chosen one, also one of the Prophets names
mustafeed|Profiting, gainful
mustahsan|Commendable
mustajab|One who is heard
mustakim|Straight road
mustaneer|Brilliant
mustaqeem|Straight
mustatab|Good, Delectable
mutahhir|What Purifies
mutashim|Decent, honest and modest
mutasim|Kept away from sin; name of Khalifah
mutawassit|Moderate, average
mutayyib|Fragrant
muttaqi|Righteous, one who fears Allah
muttee|Obedient
muzaffar|Victorious
muzakkir|Reminder
muzammil|The wrapped one
muzhir|Witnessed, name of companion
muzzammil|Wrapped
na'il|Acquirer, earner
naadir|Dear, Rare, Precious
nabeel|Noble Man
nabhan|Alert
nabigh|Genius
nabih|Alert
nabil|Noble, generous
nadeem|Companion, Friend
nadhir|Warner
nadim|Friend, companion
nadir|Dear, rare, precious
nadr|Flourishing
naeem|Blessing, Ease
nafasat|Refinement
nafees|Pureness, Pure
nafis|Precious
naib|Deputy, Second in Command
naim|Comfort, tranquillity
najair|Little Star
najam|Star
najeeb|Of noble birth
najeed|Highland
naji|Safe
najib|Intelligent
najid|One who helps, supports
najih|Successful
najm|Star, celestial body
name,|for instance Ibn Tamim was a reciter of the Quran, Al 
nameer|Pure
namik|Writer/Author
naqeeb|Leader
naqi|Pure
naqid|Fault finder
naqqaash|Painter, artist
naseef|The just one
naseem|Breeze
naseer|One who helps
nashat|Joy, Cheer
nashit|Energetic, active
nasif|Most just, equitable
nasih|Advisor, well wisher
nasim|Breath of Fresh air, breeze
nasir|Protector, supporter
nasmi|Breeze
nasr|Help, victory
nasser|Protector
natiq|Categorical (decision), talker, speaker, rational
naushad|Happy
naveed|Glad tidings
navid|See Naveed
nawaz|Prince, kind, loving and generous
nawfal|Generous, old Arabic word for the Sea
nayab|Rare, Precious
nazakat|Delicacy
nazar|The one who gives
nazeef|Clean, neat
nazeer|One who warns
nazih|Pure, chaste
nazim|Intelligence , Power
nazir|Observer, supervisor
nehan|Beautiful
nidal|Fight, defence
nihal|Happy, Prosperous
nishaaj|Explorer
nithar|Sacrifice
niyaz|Dedication, Offering
nizam|Administration
nizzar|Keen eyed
noman|Men with all blessings of Allah
nooh|Name of Prophet
noor|Attribute of Allah
noorali|Light of Ali
noraiz|The first ray of sunlight which came to earth
nour|Light
noureddine|Light of faith
now|used to describe many things in Arabic
nu'man|Blood
nuaym|One of narrators of Hadith
nubaid|Bringing Happiness
nuh|A Prophet's name
numair|Baby Tiger
nur|Light
nuraz|The Treasure Of Noor
nurdeen|Light of the religion
nurfirdaus|Firdaus Light of the Highest Paradise
nuri|Shining, brightness
nusayb|Name of a black slave who fought in the early wars of Islam
nusayr|Narrator of Hadith had this name
obaid|Small Slave
omair|Intelligent
omar|Long Lived
osama|Lion
owais|A companion of the Prophet (SAW)
parsa|Devout or abstemious person, pious
parvez|Success Name of a Persian King
pervaiz|Breeze
qaadir|Capable
qabeel|Son of Sayyidina Aadam
qadar|Divine destiny
qadeer|Powerful, very kind hearted and honest
qadi|Judge
qadim|Ancient
qahtan|Name of a tribe
qaim|Rising, Standing, Existing, well grounded
qais|Lover
qamar|Moon
qani|Content, Satisfied
qanit|Obedient, Submissive, Humble, God fearing
qareeb|Near
qaseem|Share, Portion
qasid|Messenger
qasif|Discover
qasim|Divider, distributor
qatadah|A hardwood tree
qawee|Strong, powerful
qays|Firm
quadir|Strong
qudamah|Companion of Prophet (SAW)
qudoos|Most holy
qurban|Offering, Sacrifice
qusay|Distant
qutaybah|A narrator of hadith
qutb|Celebrity, personality
ra'id|Leader, pioneer
raahil|Path guider
raamis|The good looking one
raamiz|Symbol
raashid|Major, Adult, Orthodox, Guided, Intelligent
rabah|Gainer
rabar|A loving and caring person to all
rabbani|Divine
rabee|Spring
rabi'|Spring, breeze
rabiah|Greenery
rabit|Binding, Fastening
radi|Satisfied
raees|Rich, Wealthy, Chief
rafan|Beautiful, graceful
rafay|The Exalter, To Elevate Rank
rafee|High, High ranking, cultured, refined
rafeek|Friend
rafi|High, High ranking, cultured, refined In the Quran, the
rafik|Kind, friend
rafiq|Kind, friend
raghib|Desiring, willing
rahat|Rest, Response
raheel|One who shows the way, Fearless or Brave
raheesh|Leader, Chief, Rich
rahil|Path guider
rahim|Merciful
rahmat|Mercy
raihan|Heavens' Flower
raiyan|Satisfaction, contented
rajaa|Hope
rajab|th Month of the Islamic Calendar
rakeem|Writer
rakhshan|Dazzling
ramadan|th Month of the Islamic Calendar
rameez|Symbol
ramin|Who rescues the people from hungry and pain Brings Joy into peoples life
ramiz|Symbol
raonar|Lustre
raquib|Most watchful
raseem|One who designs
rashad|Integrity of conduct, maturity
rashdan|Guidance, rectitude
rasheed|Rationale, Prutend, Intelligent, Rightly guided
rashid|Righteous, mature
rasool|Name of the nabi
rauf|Merciful, kind
rawahah|Departure, Fragrance, ease
rawdah|Garden Meadow, Paradise
rawh|Refreshment, Rest
rayan|The gate of heaven which allows fasting people in Ramadan to
rayees|Rich
rayhaan|Sweet basil
rayhan|Basil, Sweet basil, Fragrance
rayn|It is the name of a gate of the heaven
rayyan|Full, pretty
raza|Handsome
razam|Lion
razeen|Sedate, Slemn, Grave, Sober Minded
rehan|King
rehma|The loving
rehmat|ullah Blessings of Allah Almighty
reza|Wish
riaz|Garden, devotion
ridha|Contentment
ridwan|Keeper of the gates of heaven
rifa'ah|Dignity
risay|The Risk, Black Rose, Lovest One, The One
riyad|Gardens
riyasat|Rule, Dominion
rizwan|Peon of Paradise
robeel|Flight
rohail|Noble
roshan|Bright, Shining
rowel|Flower
rukanah|Firm, Solid
rushd|On the right path
ruwayfi|Exalted
sa'd|Felicity
sa'dan|Happy, fortunate
sa'id|Happy, fortunate
sa'im|Fasting
sa'ir|Walking, going on foot
sa'irah|Walking
sa'ood|Fortunate, Happy
saad|A companion of the Prophet (SAW)
saadat|Blessing, Honour
saafir|Ambassador, handsome
saahir|Wakeful
saaiq|He who drives on the right path
saal|The year consisting of twelve months
saaqib|Star
sabbir|Patient
sabeeh|A narrator of Hadith
sabil|Path, way
sabiq|First, Former
sabir|Patient
sabur|Patient, perservent
saburah|A narrator of Hadith
sadan|Happy, Fortunate
sadaqat|Truth
sadeed|Relevant, Pertinent
sadeem|Haze, Mist
sadik|Truthful
sadiq|Truthful
sadit|Hard working and strong
saeed|Blissful, auspicious
safdar|One who breaks the enemy's rank
safeenah|Name of an Ahl As Suffah
safeer|Emissary
saffar|An authority of Hadith
safiy|Allah Allah's chosen one
safiyy|Chosen One
saful|Islam Sword of Islam
safwan|Rock
sagheer|Small, short
sahab|Cloud
sahar|Time before day break, bewitch
saheim|Warrior
sahib|Companion, friend
sahil|Guide
sahir|Wakeful
sahl|Easy, Uncomplicated
sahm|Arrow, dart
sahmir|Entertaining companion
saib|Forsaken, abandoned
saif|Sword
saifan|Sword of Allah
saiful|Azman Sword of dream
saji|A scholar had this name
sajid|Prostrating
sajjad|One who does much prostrations
sakhawat|Generosity, liberality, open handiness
sakhr|Rock
sakhrah|Rock(s)
salaahddinn|The righteousness of the faith
salaam|Peace
salah|Righteousness of the faith, goodness
salam|Peace
salamah|Soundness, integrity
salamat|Safety
salar|Leader
saleel|Warrior of understanding, Noble hearted, container of inner
saleem|Sound, Unimpaired, Sane, Sincere
salif|Previous, Former
salih|Safe, whole, flawless
salik|Passable, unobstructed
salim|Secure, free
salman|Safe
salsaal|Pure Water
salsal|Pure Water
salt|A narrator of Hadith
sameed|Brave, simple
sameer|Entertainer
sameh|Forgiver
sami|High, lofty, exalted
samir|Entertaining companion
samit|Quiet
sanaullah|Worshiper of Allah
sanawbar|A cone bearing tree, fir, Pine
saqer|Falcon
saqib|Shining Star
sarab|Mirage
sarfaraz|King
sarfraz|Person sitting at a high place
sarim|Lion, brave, big hearted
sariyah|Travels by night
sarmad|Eternity
sarosh|Angel
sarwar|Chief, leader, Joy, Delight
saud|Felicities, good fortune
sawa|Equal, same
sawad|Blackness, Skill
sawlat|Influence, commanding, personality, awe
sawwaf|Wool Stapler, Wool Dealer
sayf|Sword
sayfiyy|Concerning sword
sayhan|Flowing
sayid|Lord, Master
sayyar|Mobile, Constantly on the move
seema|Mien, Expression, Countenance
seif|Sword
severity|and hardship There have been other noted men by this
shaaf|One who gives health
shaariq|Radiance
shabaan|Islamic Month
shabab|Youth
shabah|Resembling
shaban|Name of an Islamic month
shabaz|Beautiful, handsome, intelligent, protected by Allah, self confidence,respectful
shabb|Young
shabbeer|Appellation of Imam Husain (RA)
shabbir|Pious, beautiful
shabeeh|Resembling
shabib|A scholar who wrote about Quran
shad|Happy
shadab|Fresh, evergreen
shadan|Happy
shadeed|Lover
shadhin|Independent
shadi|Singer
shafaat|Recommendation
shafee|Intercessor
shafi|Pure
shafin|He who cures
shafiq|Compassionate, tender
shafiulla|Compassionate of Allah or Purity of Allah
shafqat|Affection
shah|King
shahab|Meteor
shahadat|Witness, Evidence
shahan|King
shaharyar|King
shahbaz|Falcon
shaheed|Witness
shaheem|Intelligent
shaheen|Falcon
shaheer|Well Known
shahid|Witness
shahin|Falcon
shahnawaz|Brave
shahrukh|Concerning, monarchy
shahrul|Moon
shahzad|King's son
shahzaib|Crown of a king, like a king
shahzor|Extreme Power
shairyaar|Friendship
shajee|Bold, Courageous
shakeel|Handsome, Comely
shakir|Thankful
shallal|Waterfalls
shamas|Sun
shameel|Complete
shameem|Fragrance
shamel|Comprehensive, complete
shammyn|Sun light
shams Sun|Ul Haq Appellation given to Indian and Pakistani Scholars
shamshad|Box tree
shamsheer|The sword of honours
shamsideen|Sun of religion
shan|Dignity, Splendour
shaqeeq|Real brother
sharaf|Honour
sharafat|Nobility
sharaheel|A narrator of Hadith
shareef|The good
shareek|Associate
sharif|Honest, noble, distinguished
sharifudin|The noble religion
shariq|Radiant, Bright
sharique|Sunrise
sharjeel|Fine
shaukat|Grandeur
shawaiz|Speak melodious
shayaan|Intelligent
shayan|Praised
shaybah|Grey haired, aged
shazad|Prince
shazeb|Decorated king
shaziya|Aromatic
shehran|The ancient king of Persia
shehroze|King of Roses
shehryaar|Sovereign
shehyar|Lucky one
shehzaad|Prince
sheraz|Loving, Caring, Daring
sheryar|King
shibli|Was a great Scholar and writer
shifa|Cure
shihab|Flame, blaze
shiraz|Sweet
shoaib|A Prophet's name
shu'aa|Beams, Rays
shuayb|A Prophets name
shuja|Brave, bold, Valour
shuneal|Traveller
shurahbeel|A narrator of Hadith
shurayh|A narrator of Hadith
shuraym|Split, Cleavage
sifet|Quality
sikandar|Name of a famous Sovereign
silah|Arms
simak|Arcturus (Star)
sinan|Spear head
siraj|Lamp, light
siwar|Bracelet, Arm ring
sofian|Sand storm
sohaib|Reddish or Sandy (Hair)
sohail|Gentle, ease; name of star
souffian|Sand
subhan|Holy
subhi|Early morning
suhaan|Very good
suhayb|A companions name
suhayl|Canopus (Star)
suheb|Love
sulaiman|A Prophets Name
sulayk|Traveller, Walker
sulayman|Name of a Prophet
sultaan|Authority
sultan|Power, authority
sumayya|Martyr of Islam
surayj|Name of an authority of Hadith
surur|Joy, happiness
suwaybit|Roof over path, alley between houses
suwayd|Black
sydeek|King
syed|Always in control
taanish|Good
taban|Resplendent, Glittering
tabassum|Smiling
tabish|Heat, Brilliancy
taha|Name of a Surah in the Quran
tahawwur|Rashness
taheem|Pure
tahir|Pure, clean, chaste
tahmeed|Allah’s servant
tahmid|Thanks to the graceful and merciful Allah
tahoor|Purity
tahseen|Acclaim, appreciation
taimur|Iron
taj|Crown
tajammal|Beautiful
tajammul|Dignity, Magnificence, Pomp
tajudinn|Crown of religion
talal|Nice admirable
talat|Countenance
talha|A name of Tree
talhah|Kind of tree
tali|Rising, Ascending, Going up
talib|Sender (of truth), student
tameem|Perfect, complete
tameez|Discretion, sense, manners
tamir|Tall
tamkeen|Dignity, Gravity
tammam|Generous
tanim|Wave of the Sea, Rhythm
tanveer|Rays of light
tanwir|Enlightening
taqiyy|Pious, Righteous
tarannum|Singing
tariq|A late visitor
tasadduq|Giving Alms, Charity, Sacrifice
tasawwar|Idea, conception
taseen|A name of the Prophet (SAW)
taslim|Peaceful
tasneen|A heavenly fountain
taufiq|Guidance
tauqeer|Respect
tawbah|Repentance
tawfeeq|Divine help or guidance, enabling, inner motivation
tawoos|Peacock
tawseef|Praise
taymur|Brave strong
taysir|Facilitation
tayyab|Clean
tazeem|Honour, Respect
tazneem|A garden in paradise
tehseen|Compliments, happiness
tha'labah|A narrator of hadith
thabit|Firm, established
thaman|Price, Worth
thamar|Fruit, Outcome
thaqaf|To surpass in skill
thaqib|Piercing
tharwat|Wealth, Fortune, riches
thauban|Two garments
thayer|Rebel
thrushed|upon it
thumamah|Millet (Plant)
tiay|known for his generosity; also the son of Thabit had this name
tihami|A title of the Prophet (SAW)
tobias|Born with a Star
toqeer|Respect
tufayl|Baby
tulayb|Concerning a seeker, or one who covets
tunveer|Rays of light
turhan|Of mercy
ubadah|Worship
ubayd|Worshipper
ubaydullah|Servant of Allah
uhban|Name of Prophet (SAW)'s name
ulfat|Love, Affection, Familiarity, Intimacy
umair|Intelligent
umar|Name of the second Caliph
umarah|Habitation
umayr|Old Arabic name
umayyah|A narrator of hadith
umran|Prosperity
unais|Love, Affection
unal|Fighter, strong spirit
unays|Smaller form of Anas
uqbah|End of everything
urfee|Name of popular Poet
urooj|Ascension, Mounting Rising
urwah|Hand held, support
usamah|Description of a lion
usayd|Little lion
usman|Name of the third Caliph
utbah|Threshold
uthman|Name of the third Caliph
uwayam|A float, buoyant
uzair|Name of a Prophet
uzayr|Precious
waa'il|One Who Returns For Shelter
wadi|Calm, peaceful
wafa|Faithfulness, fidelity
wafi|Faithful, loyal
wafiq|Successful
wahb|Giving
wahban|(related to Wahb)
waheed|Unique, One of its kind
wahhaj|Glowing, incandescent
wahib|Liberal donor
wahid|Singular, exclusive, unequalled
wail|Returner
wais|King
waiz|Preacher, Sermoniser
wajdaan|Thought, imagination
wajeeh|Commanding Personality
wajid|One who finds
wajih|Noble, eminent
wakalat|Advocacy, Agency
wakeel|Agent, Representative
waleed|New born Child
wali|Guardian ud din Guardian of religion
walid|New born child
waqaar|Self respect
waqar|Respect, dignity
waqas|Warrior
wasay|Unlimited, All Encompassing, Boundless
waseem|Handsome
wasif|Man of Qualities
wasil|Inseparable friend
wasim|Good looking
watheq|Firm, reliable, confident
wazir|Minister
wildan|Boy in heaven
wisam|Badge, Logo, like coat of Arms
yafi|A narrator of hadith
yaghnam|A narrator of hadith
yahya|A Prophet's Name
yaman|Blessed
yameen|Oath, right hand, right wing (of the army)
yaqeen|Belief
yaqoot|Precious stone
yaqub|A Prophet's Name
yar|Friend
yaseen|YASIN, ALIF LAAM MEEM, HA MEEM AIN SEEN KAAF are all words in Quran whose meaning is known to Allah only
yasin|Rich, Sura in Quran, Name of Prophet Muhammad (PBUH)
yasir|Wealthy
yathrib|Former name of the city of Madinnah
yawar|Helping
yawer|Helper
yuhannis|The name of a freed salve of Zubair
yunus|A Prophet's Name
yusr|Ease, Convenience
yusuf|A Prophet's Name
zackariya|Name of a prophet
zaeem|The leader
zafar|Victorious
zafir|Victorious
zafrul|Honest, Reliable and very ambitious
zaheer|Bright and shining
zahi|Bright, shining
zahir|Bright, shining
zaid|Growth, Increase
zaigham|Lion
zaighum|Lion, Powerful
zaim|Leader or General, someone who is demanded
zain|Friend, beloved
zair|Pilgrim
zakar|Handsome, Kind hearted
zakariya|Name of a Prophet (AS)
zakariyya|The name of a Prophet
zaki|Intelligent, pure, chaste
zakir|Someone who believes in Allah, faith
