name|meaning
tubassum|Smile
tufaylah|This was the name of the freed slave of al Waleed bin Abdullah; she
tulayhah|She was a narrator of Hadith
tumadur|Old Arabic name
ubah| Flower
udaysah|She was a narrator of Hadith
ugbaad|Roses
ujala|Light of the universe
ulfah|Friendship, harmony, love
umaiza|Bright, beautiful and soft hearted
umamah|Proper name
umaymah|Young mother
umaynah|She was a narrator of Hadith
umayrah|She was the daughter of Alqamah
umm|  Kulthum One with round face  e kulsum The mother of kulsum
ummayyah|She was a narrator of Hadith
umnia|Gift
unaysah|Friendly; Affable
unaza|The one and only
unsa| Woman
uroosa|Bride, happiness
urshia|One who belongs in the skies
ushna|Beautiful girl
uswa| Sunnah, practice
utaybah|A narrator of Hadith
uzma| Greatest
valiqa|Trustworthy
vardah|Rose
varisha|Lightning
very| generous, philanthorpic woman
waajidah|One who acheives her goals in life, loved, beloved
wabisa|Something Bright
wafaa|The faithful, loyal
wafeeqah|Successful
wafiqah|Successful
wafiyah|Loyal, faithful
wafiza|Fresh air
wagma|Morning breeze, dew
wahabah|This was the name of a poetess
wahibah|Giver, donor
wahida|Unique
wahidah|Exclusive, unique
wahuj|First light of day, Dawn, New Beginning
wajahat|Commanding, Personality, Dignity
wajihah|Eminent, distinguished
wakeelah|Agent
walihah|This was the name of a poetess
waliyah|Princess
wania|Gift of Allah (swt)
waniya|Pearl
warda|Guardian, Protector
wardah|Rose
wareesha|Happiness
warizah|Happiness, bubbly
warsan|True news, wonderful news
waseefah|Female Servant; Mid in waiting
waseemah|Comely
washma|Pretty greatful, goodwish
wasifah|One who describes
wasilah|Inseparable friend
wasimah|Graceful, pretty
wasna|A narrator of Hadith had this name
watiaa|Beautiful
wazeera|Female Minister;
widad|Love, friendship
wijdan|Sentiment
wisal|Communion in love
wiyyam|Truthful, loving
woman,|she wept often for fear of Allah
yalina|Soft, gentle
yalqoot|An early woman who gave much in charity
yamamah|Valley in Arabia
yamina|Right, Proper
yaminah|Right and proper
yara| Little Butterfly
yashal|Freshness, greenry
yasmeenah|  Sweet smelling flower
yasmin|Jasmine flower
yasmina|A beautiful flower that shines
yasmine|Flower
yasna|It means white rose in arabic
yassaman|The flower Jasmin
yelda|Dark night
yumna|Good fortune, success
yusayrah|Easy One of the first two swear allegiance (bayah) to the Prophet  (SAW)   among the Ansar (but it is also said that she was among the  Muhajirs(Emigrants)
yusra|Prosperous
yusur|Prosperous
za'nyah|Beautiful, unique
zaahirah|Guest
zaara|Beautiful Flower
zaeemah|Leader
zafeerah|Firm
zafirah|Victorious
zafreen|Victorious, Knowledgable
zahabiya|Gold
zahara|Flower, beauty, star
zaheen|Intelligent
zaheerah|Helper, Assistant
zahida|Abstinent
zahira|Blossoming flower Obvious
zahra|Beautiful
zahraa|Lady of Jannah
zahrah|Beauty, the planet venus
zaida|She was a very devoted worshipper about whose worship the Prophet  (SAW)  also learnt; she was the freed slave of Sayyidina Umar bin al 
zaina|Beautiful
zainab|Daughter of the prophet (pbuh), Decorated or ornamented tree
zairah|Visitor
zaiton|Olive
zakia|Beautiful, intellegent
zakirah|One who remembers Allah regularly
zakiyah|Intelligent
zalfa|This was the name of a distinguished woman of her times, she was
zameelah|Companion
zameena|Intelligent, Intellectual
zamrud|She was a narrator of Hadith
zanyah|Beautiful flower
zara| Bright as the dawn
zareen|Full of expression and smile
zareena|Gold
zareenah|A companion of Prophet (SAW)
zarifah|Beauty, smart
zarina|Beautiful
zariya|Beauty and light
zariyah|Queen
zarmina|Lovely and precious gold
zarqa|Blue
zarrah|She was a narrator of Hadith
zartaj|Queen
zayaan|Something beautiful
zayba|Adornment; Beauty
zaynab|Proper Name, Name of Prophet's Daughter
zaynah|Beautiful
zaytoon|Olive
zaytoonah|  (A single) Olive
zeba| Beauty
zeena|Ornament, Something beautiful
zeenat|Gorgeous
zehna|Beautiful
zehra|Flower
zenia|Flower
zerina|Princess, Smart, Inteligent
zhalay|Dew
zinah|Beauty
zineta|Beautiful ornament
zinneerah|  Name of a sahabiah
ziyan|Beauty, ornament From Zeenat
zoeya|Life
zoha| Light
zoharin|Dawn, light of day
zohha|Hope, Shining light
zohra|Venus, jewels of sky
zohura|Beautiful, innocent and caring
zonira|Precious Stone, Expensive Jewel
zorah|Dawn
zoufishan|Moonlight
zoya| Loving & caring, Alive, life and joyous
zubaria|Blooming flower
zubash|Silver
zubaydah|This was the name of the daughter of Jafar Mansoor and the wife of Khalifah haroon Rasheed
zubdah|Butter
zubi| Loving and understanding
zuhaira|Courage
zuharah|Planet Venus
zuhayra|Courage
zuhera|Name of a planet
zuhra|A star's name, brilliance
zuhrah|Brilliance
zuhur|Flowers
zulaykha|She was a narrator of Hadith
zulekha|Brilliant beauty
zulfa|First part of the night
zulfah|Nearness, closeness
zumzum|Sweet water of paradise
zunairah|Flower found in paradise
zynah|Beautiful
zyva| Brightness, radiant, splendor
